PROGRAMA;PRESUPUESTO INICIAL;PRESUPUESTO VIGENTE;COMPROMETIDO;DEVENGADO;PAGADO;%DEVENGADO
Desarrollo de la Educacion Superior;1385289,44;3037428,07;1881488,60;1881286,06;1844976,53;61,94%
Gestion y Asignacion de Becas a Estudiantes;294754,01;430298,50;198479,41;198465,87;198455,26;46,12%
Gestion Educativa y Politicas Socioeducativas;119998,59;425135,58;256676,22;255017,18;248780,00;59,98%
Conectar Igualdad;115732,19;97081,84;36579,95;35725,56;22072,73;36,80%
Mejoramiento de la Calidad Educativa;42479,59;76151,35;1363,96;1363,96;309,86;1,79%
Fondo Nacional de Incentivo Docente;347350,61;71055,46;56470,94;56470,94;13542,96;79,47%
Infraestructura y Equipamiento;63715,13;65224,83;7537,75;6609,52;4063,35;10,13%
Innovacion y Desarrollo de la Formacion Tecnologica;39538,86;42743,53;11911,55;11616,72;5941,75;27,18%
Fortalecimiento Edilicio de Jardines Infantiles;32997,44;42432,37;7566,18;7238,77;6743,81;17,06%
Actividades Centrales;13070,15;25676,23;14958,01;13993,79;11211,68;54,50%
Informacion y Evaluacion de la Calidad Educativa;8772,85;19162,66;7603,09;7252,01;3749,85;37,84%
Acciones de Formacion Docente;9139,21;9671,45;1976,59;1895,50;1294,30;19,60%
Cooperacion e Integracion Educativa Internacional;795,71;1667,03;760,91;747,04;746,99;44,81%
Fortalecimiento Territorial y Acompañamiento de Organizaciones Educativas;2775,41;1288,07;384,08;384,08;384,08;29,82%
Transferencias Varias;744,13;744,13;0,00;0,00;0,00;0,00%
Total;2477153,33;4345761,10;2483757,25;2478067,00;2362273,14;
